codigo_bdns,MRR,administracion,departamento,organo,fecha_registro,titulo_convocatoria,url_bases_regul,importe_total,tipo_beneficiario,sector_beneficiario,region_impacto,finalidad
617500,False,DIPUTACIÓN PROV. DE JAÉN,DIPUTACIÓN PROVINCIAL DE JAÉN,,25/03/2022,ADQUISICION DE MOBILIARIO PARA EDIFICIO AULAS DE NATURALEZA,https://www.dipujaen.es/portal-de-transparencia/economica-financiera,7500.0,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Acabado de edificios,Jaén,INFRAESTRUCTURAS
617499,False,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,MANCOMUNIDAD RIO MULA MANTENIMIENTO CENTRO ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,138611.0,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617498,False,ONDA,AYUNTAMIENTO DE ONDA,,25/03/2022,Convenio de colaboración entre el Ayuntamiento de Onda y el Club Deportivo Onda,https://www.onda.es/ond/web_php/index.php?contenido=subapartados_woden&id_boto=355,111600.0,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",Castellón / Castelló,CULTURA
617497,False,TORRENT,AYUNTAMIENTO DE TORRENT,,25/03/2022,SUBVENCION DIRECTA VARIOS ENTES 2020,https://www.torrent.es/torrentPublic/inicio/serveis/ajudessubvencions.html,20500.0,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,OTROS SERVICIOS,Valencia / València,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617496,False,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO YECLA MANTENIMIENTO CENTRO ATENCIÓN TEMPRANA,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,170879.0,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617495,False,ONDA,AYUNTAMIENTO DE ONDA,,25/03/2022,Convenio de colaboración entre el Ayuntamiento de Onda y el Club Pilotari d'Onda de Pilota Valenciana,https://www.onda.es/ond/web_php/index.php?contenido=subapartados_woden&id_boto=355,6500.0,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",Castellón / Castelló,CULTURA
617494,False,TORRENT,AYUNTAMIENTO DE TORRENT,,25/03/2022,ASIGNACION GRUPOS POLITICOS A ENTIDADES SOCIALES POR COVID-19,https://www.torrent.es/,4326.3,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,OTROS SERVICIOS,Valencia / València,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617492,False,REGIÓN DE MURCIA,INSTITUTO MURCIANO DE ACCION SOCIAL (I.M.A.S.),,25/03/2022,AYUNTAMIENTO TOTANA MANTENIMIENTO CENTRO ATENCIÓN TEMPRANA Y CENTRO OCUPACIONAL,https://www.borm.es/services/anuncio/ano/2022/numero/310/pdf?id=799320,102004.0,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,ACTIVIDADES SANITARIAS Y DE SERVICIOS SOCIALES,REGION DE MURCIA,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
617491,False,ONDA,AYUNTAMIENTO DE ONDA,,25/03/2022,Convenio de colaboración entre el Ayuntamiento de Onda y el Club de Cazadores San Roque,https://www.onda.es/ond/web_php/index.php?contenido=subapartados_woden&id_boto=355,10000.0,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,"ACTIVIDADES ARTÍSTICAS, RECREATIVAS Y DE ENTRETENIMIENTO",Castellón / Castelló,CULTURA
617490,False,ARAGÓN,INSTITUTO ARAGONÉS DE LA MUJER (IAM),,25/03/2022,"CONVENIO DE COLABORACIÓN ENTRE EL INSTITUTO ARAGONÉS DE LA MUJER Y LA COMARCA BAJO CINCA/BAIX CINCA PARA LA PRESTACIÓN DEL SERVICIO DE ATENCIÓN PSICOLÓGICA, SOCIAL Y EDUCATIVA FAMILIAR",http://www.boa.aragon.es/cgi-bin/EBOA/BRSCGI?CMD=VEROBJ&MLKOB=847747263333&type=pdf,22303.2,PERSONAS JURÍDICAS QUE NO DESARROLLAN ACTIVIDAD ECONÓMICA,Administración Pública y de la política económica y social,ARAGON,SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
